"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"20713180" "20713180" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192 -4.15242637551068 0.275109504956749 1.44262007687428
"20713184" "20713184" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192 -4.15242637551068 0.275109504956749 1.44262007687428
"209943324" "209943324" 35.9829 -105.9237 "inv" 2004 "US" 1539 75 176 -18 227 25 9 25 69 39 48 59 175 44 7560 303 -93 396 105 170 -3.86982685595216 2.10276282871776 0.470138086415749
"214388591" "214388591" 40.93 25.92 "nat" NA "GR" 1512 78 196 -40 525 56 20 25 163 83 83 146 144 34 9069 307 -106 413 69 196 -2.57504830984899 1.88446529653243 -0.237067613765749
"216492645" "216492645" 39.1 -104.8 "inv" 1997 "US" 1888 50 152 -47 334 39 16 27 107 54 66 96 178 43 7728 283 -130 413 -36 148 -3.57700887313451 2.67959183548787 -1.80202161128796
"216492967" "216492967" 39.632 -105.187 "inv" 1999 "US" 1937 91 172 21 733 131 3 78 378 35 36 371 158 48 6071 273 -54 327 27 147 -3.73580069498759 -3.16653934275552 -2.07364854696387
"216492974" "216492974" 39.7157 -105.696 "inv" 2000 "US" 1472 97 191 11 282 46 9 52 122 33 33 122 183 47 7053 315 -71 386 11 191 -4.69004495941487 0.164719316193069 0.65424210091819
"216492980" "216492980" 49.5 -119.7 "inv" 1965 "CA" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -2.93067560749814 1.97457213821548 -1.10272139709462
"216492984" "216492984" 46.657 -119.61 "inv" 1984 "US" 1830 99 218 -17 276 33 12 24 92 52 73 60 151 36 9111 321 -95 416 167 142 -3.24766123468585 2.32550103958366 1.68260990994667
"216492992" "216492992" 38.594 -109.29 "inv" 1999 "US" 2311 55 163 -55 412 45 23 18 129 88 111 88 179 41 8475 277 -154 431 157 95 -2.60716917367202 3.45066714115951 -1.65745729748073
"216492996" "216492996" 45.701 -121.457 "inv" 1987 "US" 587 75 171 -20 824 163 12 78 457 55 55 420 135 38 7473 276 -72 348 -15 171 -2.33713562273635 -2.78357901719916 -2.73390441253104
"216493000" "216493000" 39.4203 -104.8882 "inv" 2000 "US" 174 114 224 4 169 29 5 45 73 22 24 65 131 35 8529 320 -50 370 10 216 -3.70698694203755 0.830881119749214 2.86139955838429
"216493108" "216493108" 38.587 -109.26 "inv" 1985 "US" 700 73 181 -39 351 44 16 28 122 56 72 116 130 34 8590 278 -100 378 -32 177 -2.29499225459129 2.0297516399474 -0.160840300958746
"216493110" "216493110" 43.206 -114.656 "inv" 1990 "US" 545 90 192 -9 449 62 17 38 177 59 71 161 122 34 7868 294 -55 349 -4 187 -1.91347454591791 0.190229401384414 0.641601647926378
"216493121" "216493121" 47.332 -116.663 "inv" 1949 "US" 1145 42 130 -45 1211 199 36 57 569 124 124 518 104 34 6882 212 -89 301 -38 130 1.05257395878822 -2.98298951909683 -5.78389226330681
"216493128" "216493128" 41.906 -118.964 "inv" 1978 "US" 331 98 199 -2 208 33 6 46 91 25 30 84 143 39 7833 304 -60 364 2 193 -3.49991485454026 0.739861865240181 1.72471515921188
"216493143" "216493143" 38.918 -119.741 "inv" 2001 "US" 306 96 204 -16 304 38 16 24 101 56 69 95 128 34 8507 302 -70 372 -8 196 -2.36347212244135 1.43913421290997 1.50458977309281
"216493161" "216493161" 41.919 -115.424 "inv" 1985 "US" 1139 60 150 -26 717 98 18 44 289 77 88 268 133 39 6887 262 -76 338 -20 148 -1.44080116858188 -0.579693511874762 -2.34870517066564
"216493162" "216493162" 41.39 -82.551 "inv" 1998 "US" 942 61 166 -46 412 68 11 52 190 47 53 171 122 33 8299 265 -98 363 -39 163 -2.38509343080595 1.22874785955947 -1.32274437970743
"216493443" "216493443" 41.506 -111.318 "inv" 2008 "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -3.14526536883424 2.07208539364661 -1.18614487710018
"217906593" "217906593" 38.1 -3.1 "nat" NA "ES" 421 90 188 -8 256 42 6 53 118 27 32 109 141 39 7621 292 -64 356 -3 183 -3.41231506585002 0.575967438925785 0.947773962586518
"217911152" "217911152" 38.1 -3.1 "nat" 1979 "ES" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24 -3.46562027008699 2.12168447319459 0.103638523171965
