"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"367026492" "367026492" 48.18222 16.39556 "nat" 2010 "AT" 1841 88 196 -13 434 66 12 47 177 43 162 43 170 41 8156 301 -107 408 171 -13 -1.87878178323093 -2.19189002601017 0.346807594026572
"415904179" "415904179" 42.26666 -71.8 "inv" 1976 "US" 1709 49 162 -67 402 59 14 43 164 50 60 159 164 38 8868 285 -140 425 -51 157 -2.49287612369461 -3.23735718511298 -1.87589856541897
"415904180" "415904180" 41.96222 -72.84 "inv" 1941 "US" 952 68 163 -21 782 107 25 40 309 97 112 290 126 37 7207 270 -70 340 -15 159 -0.577170368218025 0.639506557647884 -1.83629857012897
"415904181" "415904181" 41.98333 -72.69166 "inv" 1941 "US" 1377 85 188 -10 210 24 8 25 64 36 44 55 176 43 7700 316 -85 401 117 181 -3.03963794333994 -2.47269304966857 1.35691598303229
"415904182" "415904182" 41.98333 -72.69166 "inv" 1941 "US" 1462 97 191 10 275 45 9 53 119 32 32 119 184 47 7045 315 -73 388 10 191 -4.12036954018646 -1.12499181010601 0.678578151762966
"441720217" "441720217" 48.76333 -119.40833 "inv" 2002 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238 -2.96646692211811 2.08641631269801 3.59648106693439
"441720246" "441720246" 46.15833 -117.81028 "inv" 2004 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238 -3.01337697555015 2.04533367651705 3.56811495183712
"441720817" "441720817" 43.66583 -118.59 "inv" 2003 "US" 615 144 225 72 1117 221 2 82 574 18 27 574 140 44 6100 325 12 313 72 223 -4.55788630862758 6.24539198066309 -0.777701535407028
"441720819" "441720819" 46.69211 -120.65398 "inv" 1990 "US" 1898 70 154 -5 643 113 11 67 303 42 42 303 151 45 6355 262 -70 332 -5 154 -2.773075369301 0.866998616753807 -2.39544608235591
"441720885" "441720885" 47.09847 -120.6983 "inv" 2006 "US" 1171 97 179 19 1032 196 5 77 522 33 33 522 181 49 6328 314 -51 365 19 179 -4.51669787043901 3.65214101291181 -2.88803071990398
"441720927" "441720927" 47.54833 -120.25333 "inv" 2005 "US" 118 166 251 84 644 123 2 78 320 20 20 320 144 43 6670 356 25 331 84 251 -4.7844680891663 4.14228078103402 2.8105040266737
"441720935" "441720935" 47.70333 -122.09167 "inv" 2000 "US" 1898 70 154 -5 643 113 11 67 303 42 42 303 151 45 6355 262 -70 332 -5 154 -2.7548656248743 0.882946249521141 -2.3844348029284
"441986212" "441986212" 44.33333 28.33333 "nat" 1914 "RO" 1635 95 180 25 1139 200 5 79 557 31 39 557 142 45 6273 281 -34 315 25 179 -3.63750042819325 4.39157475570117 -3.26191606710453
"442203473" "442203473" 44.18 -122.106 "inv" 2002 "US" 94 166 251 80 292 51 0 79 144 3 3 141 159 45 6760 366 19 347 97 251 -5.35752513951187 2.06288162200142 4.38728985685053
"466086266" "466086266" 49.35 -120.06667 "inv" 1953 "CA" 1043 149 230 80 558 103 3 77 280 20 35 275 162 49 5992 338 10 328 86 228 -4.8809850527434 3.33073111313964 1.98128410252496
"466086275" "466086275" 50 -119 "inv" 1952 "CA" 423 138 198 84 352 69 1 88 191 3 9 188 181 58 4532 310 1 309 91 196 -5.0823100795607 2.90258260298486 2.002039281942
"466086952" "466086952" 50 -119 "inv" 1947 "CA" 80 101 171 27 810 75 54 10 221 178 211 199 83 35 5661 227 -8 235 68 63 3.68109430616044 2.48702021124809 0.567781242517742
